código;nome;endereço;telefone;cnpj;pessoa de contato
1;Global Peças Ltda;Av. Vitória, 301 - Cidade Alta;2799861659;18.604.231/0001-91;Fernanda Rocha
2;Logística Fácil;Rua Pernambuco, 999 - Industrial;2799473752;63.265.800/0001-94;Fernanda Rocha
3;Fornecedora Capixaba;Rua Rio Grande, 77 - Bela Vista;2799414821;87.942.562/0001-12;Rafael Duarte
4;Logística Fácil;Rua das Flores, 123 - Centro;2799153458;68.394.287/0001-76;Luciana Ribeiro
5;Comercial Vitória;Av. Vitória, 301 - Cidade Alta;2799422042;62.695.588/0001-66;Fernanda Rocha
6;Importadora Souza;Rua Amazonas, 88 - Parque das Águas;2799768583;98.498.651/0001-47;Larissa Martins
7;Grupo Brasil Importados;Rua Pernambuco, 999 - Industrial;2799396944;60.289.337/0001-61;Gabriel Santos
8;Mega Supplies BR;Rua Pernambuco, 999 - Industrial;2799714614;64.301.815/0001-65;João Lima
9;Comercial Vitória;Rua Rio Grande, 77 - Bela Vista;2799126041;89.880.894/0001-88;Rafael Duarte
10;Grupo Brasil Importados;Av. Brasil, 456 - Jardim América;2799544894;76.138.558/0001-46;Marina Costa
11;Armazém Central;Rua São Paulo, 789 - Centro;2799645385;74.306.422/0001-77;Fernanda Rocha
12;Atacado São Lucas;Av. Brasil, 456 - Jardim América;2799735234;96.815.578/0001-26;Juliana Souza
13;Atacado São Lucas;Av. Vitória, 301 - Cidade Alta;2799720317;51.216.484/0001-35;Larissa Martins
14;Mega Supplies BR;Rua Amazonas, 88 - Parque das Águas;2799539310;81.884.244/0001-93;Carlos Silva
15;Mega Supplies BR;Rua São Paulo, 789 - Centro;2799556629;97.797.462/0001-20;Rafael Duarte
16;Atacado São Lucas;Av. Vitória, 301 - Cidade Alta;2799835202;39.937.991/0001-75;Gabriel Santos
17;Global Peças Ltda;Rua Pernambuco, 999 - Industrial;2799654728;39.568.852/0001-13;Marina Costa
18;Comercial Vitória;Rua Rio Grande, 77 - Bela Vista;2799204013;97.887.589/0001-71;João Lima
19;Comercial Vitória;Rua Amazonas, 88 - Parque das Águas;2799350837;29.104.852/0001-83;João Lima
20;Fornecedora Capixaba;Av. Vitória, 301 - Cidade Alta;2799888107;22.251.935/0001-64;João Lima
